"id","left_name","right_name","left_odds","right_odds","weight_class","date","fight_id"
3629,"Jordan Mein","Alex Morono",-145,115,"170","2018-07-28",2938
4428,"Mizuto Hirota","Cole Miller",-110,-110,"145","2016-12-17",3680
5373,"Ross Pearson","Paul Felder",370,-460,"155","2015-09-05",4292
6174,"Francisco Trinaldo","Jesse Ronson",-165,140,"155","2014-02-15",5084
7179,"Michael McDonald","Edwin Figueroa",-460,330,"135","2011-03-26",6115
7888,"Jon Fitch","Chris Wilson",-575,425,"170","2008-03-01",6824
7997,"Antônio Rodrigo Nogueira","Heath Herring",-625,450,"265","2007-07-07",6934
1757,"Parker Porter","Alan Baudot",-280,225,"265","2022-02-19",1158
2684,"Aleksei Oleinik","Fabrício Werdum",250,-325,"265","2020-05-09",2118
3636,"Nina Nunes","Randa Markos",-140,120,"115","2018-07-28",2945
4429,"Colby Covington","Bryan Barberena",-340,280,"170","2016-12-17",3681
5387,"Nikita Krylov","Marcos Rogério de Lima",145,-170,"205","2015-08-23",4306
6185,"Chris Cariaso","Danny Martinez",-170,140,"125","2014-02-01",5095
7188,"Brendan Schaub","Mirko Filipović",-245,205,"265","2011-03-19",6124
7900,"Marvin Eastman","Terry Martin",170,-210,"185","2008-02-02",6837
720,"William Gomis","Francis Marshall",170,-210,"145","2023-04-22",554
1787,"John Castañeda","Miles Johns",150,-170,"135","2022-02-05",1188
2697,"Rani Yahya","Enrique Barzola",170,-200,"135","2020-03-14",2131
3647,"Aleksandar Rakić","Justin Ledet",-115,-105,"205","2018-07-22",2956
4443,"Viviane Pereira","Valérie Létourneau",100,-120,"115","2016-12-10",3695
5399,"Dustin Ortiz","Willie Gates",-425,345,"125","2015-08-08",4318
6198,"Hugo Viana","Ramiro Hernandez",-350,285,"135","2014-01-25",5108
7203,"Takeya Mizugaki","Reuben Duran",-225,185,"135","2011-03-03",6139
7913,"Marcus Davis","Jess Liaudin",-333,258,"170","2008-01-19",6850
884,"Jan Błachowicz","Magomed Ankalaev",280,-360,"205","2022-12-10",718
1823,"Melissa Gatto","Sijara Eubanks",140,-165,"125","2021-12-18",1224
2715,"Megan Anderson","Norma Dumont",-285,225,"145","2020-02-29",2149
3658,"Alexander Volkanovski","Darren Elkins",-285,235,"145","2018-07-14",2967
4743,"Valentina Shevchenko","Holly Holm",140,-160,"135","2016-07-23",3900
5409,"Antônio Silva","Soa Palelei",145,-170,"265","2015-08-01",4328
6203,"Brad Tavares","Lorenz Larkin",225,-270,"185","2014-01-15",5113
7213,"Alexander Gustafsson","James Te Huna",-360,290,"205","2011-02-26",6149
7923,"Lyoto Machida","Rameau Thierry Sokoudjou",-105,-116,"205","2007-12-29",6860
2473,"Jessica-Rose Clark","Sarah Alpar",-210,180,"135","2020-09-19",1911
1859,"Adrian Yanez","Davey Grant",-300,240,"135","2021-11-20",1260
2719,"Marcin Tybura","Serghei Spivac",-110,-120,"265","2020-02-29",2153
3674,"Emily Whitmire","Jamie Moyle",165,-175,"115","2018-07-07",2983
4815,"Michael Bisping","Luke Rockhold",450,-600,"185","2016-06-04",3972
5415,"Vitor Miranda","Clint Hester",120,-140,"185","2015-08-01",4334
6217,"Kyung Ho Kang","Shunichi Shimizu",-300,270,"135","2014-01-04",5127
7231,"Matt Mitrione","Tim Hague",-260,220,"265","2011-01-22",6167
7938,"Jonathan Goulet","Paul Georgieff",-403,288,"170","2007-12-08",6875
7252,"Georges St-Pierre","Josh Koscheck",-460,350,"170","2010-12-11",6188
7920,"Georges St-Pierre","Matt Hughes",-199,174,"170","2007-12-29",6857
8219,"Georges St-Pierre","Sean Sherk",-300,240,"170","2005-11-19",7189
8228,"Georges St-Pierre","Frank Trigg",-175,155,"170","2005-08-20",7220
8236,"Georges St-Pierre","Jason Miller",-135,115,"170","2005-04-16",7244
8278,"Georges St-Pierre","Karo Parisyan",200,-240,"170","2004-01-31",7302
8145,"Joshua Burkman","Josh Neer",-160,130,"170","2006-07-08",7108
7834,"Dustin Hazelett","Joshua Burkman",165,-190,"170","2008-06-21",6770
7452,"Matthew Riddle","Greg Soto",-218,186,"170","2010-03-27",6388
5855,"Manvel Gamburyan","Cody Gibson",145,-175,"135","2014-09-27",4765
7926,"Manvel Gamburyan","Nate Mohr",-423,358,"155","2007-12-29",6863
7559,"Junior Dos Santos","Mirko Filipović",-165,145,"265","2009-09-19",6495
5376,"Tiago dos Santos e Silva","Clay Collard",125,-145,"145","2015-09-05",4295
6747,"Roland Delorme","Francisco Rivera",110,-135,"135","2012-07-21",5656
6541,"TJ Dillashaw","Issei Tamura",-675,475,"135","2013-03-16",5450
4097,"Ovince Saint Preux","Yushin Okami",-470,370,"93","2017-09-22",3349
4285,"Ovince Saint Preux","Marcos Rogério de Lima",-170,140,"205","2017-04-22",3537
3573,"Elizeu Zaleski dos Santos","Luigi Vendramini",-1150,700,"170","2018-09-22",2882
3502,"Johnny Walker","Khalil Rountree Jr.",145,-175,"205","2018-11-17",2811
3961,"Khalil Rountree Jr.","Michał Oleksiejczuk",-400,300,"205","2017-12-30",3213
4181,"Khalil Rountree Jr.","Paul Craig",-150,125,"205","2017-07-16",3433
4388,"Khalil Rountree Jr.","Daniel Jolly",-175,150,"205","2017-02-04",3640
7756,"Jeremy Stephens","Rafael Dos Anjos",-151,136,"155","2008-11-15",6692
6757,"Rafael Dos Anjos","Anthony Njokuani",-190,160,"155","2012-07-11",5666
2014,"Song Yadong","Casey Kenney",100,-120,"135","2021-08-07",1415
5653,"Mike de la Torre","Tiago dos Santos e Silva",185,-225,"145","2015-02-22",4572
4827,"Marco Polo Reyes","Dong Hyun Ma",-105,-115,"155","2016-06-04",3984
